Year,Month,Max_Temperature,Min_Temperature
1997,January,20.12903226,14.74193548
1997,February,19.25,14.78571429
1997,March,23.38709677,18.22580645
1997,April,25.66666667,21.4
1997,May,29,24.25806452
1997,June,30.1,25.86666667
1997,July,30.87096774,26.58064516
1997,August,31.70967742,26.90322581
1997,September,29.5,24.9
1997,October,29.25806452,24.5483871
1997,November,26.76666667,21.3
1997,December,22.25806452,16.74193548
1998,January,19.87096774,15.16129032
1998,February,20.5,15.46428571
1998,March,22.4516129,17.35483871
1998,April,28.03333333,22.73333333
1998,May,29.80645161,25.32258065
1998,June,30.83333333,26.93333333
1998,July,32.5483871,27.70967742
1998,August,33,27.70967742
1998,September,31.33333333,26.4
1998,October,29.32258065,24.4516129
1998,November,25.9,20.96666667
1998,December,21.58064516,16.67741936
1999,January,19.61290323,14.74193548
1999,February,22.17857143,16.35714286
1999,March,23.48387097,18.4516129
1999,April,27.63333333,22.8
1999,May,28.03225807,23.32258065
1999,June,32.16666667,27.53333333
1999,July,32.48387097,27.93548387
1999,August,31.51612903,26.80645161
1999,September,30.93333333,26.26666667
1999,October,29.38709677,24.67741936
1999,November,25.43333333,20.03333333
1999,December,19.16129032,13.87096774
2000,January,19.70967742,14.77419355
2000,February,19.08695652,14.43478261
2000,March,25.75,20.75
2000,April,25.64,22.24
2000,May,30,25.29032258
2000,June,31.04545455,26.68181818
2000,July,32.5483871,27.58064516
2000,August,30.69230769,26.46153846
2000,September,31.4,26.06666667
2000,October,29.19354839,24.48387097
2000,November,23.83333333,18.9
2000,December,21.87096774,16.58064516
2001,January,20.5483871,15.29032258
2001,February,20.5,15.03571429
2001,March,24.06451613,19.06451613
2001,April,25.96666667,21.23333333
2001,May,30.16129032,25.41935484
2001,June,31.1,26.33333333
2001,July,31.35483871,26.74193548
2001,August,32.77419355,27.61290323
2001,September,31.43333333,26.56666667
2001,October,29.38709677,24.77419355
2001,November,24.93333333,18.8
2001,December,20.61290323,15.5483871
2002,January,19.83333333,14.53333333
2002,February,21.60714286,16.46428571
2002,March,24.90322581,20.06451613
2002,April,28.63333333,23.3
2002,May,30.96774194,25.48387097
2002,June,32.23333333,27.6
2002,July,32.06451613,27.29032258
2002,August,32.12903226,26.80645161
2002,September,30.26666667,25.53333333
2002,October,28,23.4516129
2002,November,24.2,19.1
2002,December,20.90322581,16
2003,January,19.38709677,13.19354839
2003,February,22.21428571,16.96428571
2003,March,22.83870968,17.70967742
2003,April,27.73333333,22.86666667
2003,May,30.70967742,25.96774194
2003,June,30.96666667,26.33333333
2003,July,33.51612903,28
2003,August,32.38709677,27.19354839
2003,September,31.36666667,26.4
2003,October,28.87096774,23.58064516
2003,November,25.33333333,20.06666667
2003,December,20.80645161,14.67741936
2004,January,18.48387097,13.67741936
2004,February,20.44827586,15.27586207
2004,March,22.22580645,17.90322581
2004,April,26.9,21.9
2004,May,29.90322581,24.64516129
2004,June,32.6,27.46666667
2004,July,32.06451613,26.96774194
2004,August,32.16129032,27.03225807
2004,September,31.3,26.03333333
2004,October,28.4516129,22.64516129
2004,November,25.83333333,20.53333333
2004,December,21.96774194,16.38709677
2005,January,18.58064516,13.35483871
2005,February,19.03571429,14.53571429
2005,March,20.83870968,15.32258065
2005,April,26.23333333,21.3
2005,May,30.29032258,24.06451613
2005,June,30.7,25.8
2005,July,32.67741936,27.22580645
2005,August,31.74193548,26.83870968
2005,September,32.06666667,26.96666667
2005,October,29.96774194,24.64516129
2005,November,27.30434783,22.04347826
2005,December,20.19354839,14.80645161
2006,January,19.67741936,14.83870968
2006,February,21.35714286,16.42857143
2006,March,22.12903226,16.93548387
2006,April,27.8,22.73333333
2006,May,29.16129032,24.67741936
2006,June,30.9,26.8
2006,July,32.64516129,27.80645161
2006,August,32.06451613,26.80645161
2006,September,30.2,25.3
2006,October,30.06451613,24.96774194
2006,November,26.6,21.43333333
2006,December,21.48387097,15.83870968
2007,January,19.03225807,14.09677419
2007,February,23,18.17857143
2007,March,23.58064516,18.96774194
2007,April,25.13333333,20.03333333
2007,May,30.48387097,24.96774194
2007,June,32,27.06666667
2007,July,33.5483871,28.25806452
2007,August,31.80645161,26.87096774
2007,September,31.56666667,26.56666667
2007,October,29.58064516,24.48387097
2007,November,24.66666667,19.03333333
2007,December,22.48387097,17.74193548
2008,January,18.48387097,13.32258065
